579262992;Withholding tax;12.07.2024 13:01:17;XRAY.US;XRAY.US USD WHT 30%;-0.77
579262991;Dividend;12.07.2024 13:01:17;XRAY.US;XRAY.US USD 0.1600/ SHR;2.56
579262976;Withholding tax;12.07.2024 13:01:17;XRAY.US;XRAY.US USD WHT 30%;-3.84
579262975;Dividend;12.07.2024 13:01:17;XRAY.US;XRAY.US USD 0.1600/ SHR;12.8
579262887;Withholding tax;12.07.2024 13:01:17;XRAY.US;XRAY.US USD WHT 30%;-1.44
579262886;Dividend;12.07.2024 13:01:17;XRAY.US;XRAY.US USD 0.1600/ SHR;4.8
547639506;Stocks/ETF purchase;14.05.2024 17:37:48;XRAY.US;OPEN BUY 80 @ 28.26;-2260.8
547615089;Stocks/ETF purchase;14.05.2024 17:21:10;FLOA.UK;OPEN BUY 16/16.7399 @ 5.9140;-94.62
547615042;Stocks/ETF purchase;14.05.2024 17:21:09;CSPX.UK;OPEN BUY 0.1799 @ 550.30;-99
547615041;Stocks/ETF purchase;14.05.2024 17:21:09;FLOA.UK;OPEN BUY 0.7399/16.7399 @ 5.9140;-4.38
547614959;Transfer;14.05.2024 17:21:05;;Transfer from 50526908 to 50655635;200
547614956;Transfer;14.05.2024 17:21:05;;Transfer from 50526908 to 50655635;-200
543857396;Free funds interests tax;07.05.2024 09:36:50;;Free-funds Interest Tax 2024-04;-2
543604525;Free funds interests;07.05.2024 03:16:39;;Free-funds Interest 2024-04;15.17
532314365;Stocks/ETF purchase;15.04.2024 20:39:49;XRAY.US;OPEN BUY 16 @ 31.00;-496
528794162;Stocks/ETF purchase;09.04.2024 17:06:46;SPY5.UK;OPEN BUY 1 @ 520.00;-520
527642868;Stocks/ETF purchase;05.04.2024 22:15:50;XRAY.US;OPEN BUY 30 @ 32.32;-969.6
526501562;Deposit;04.04.2024 18:30:00;;JP_MORGAN deposit, JP_MORGAN provider transaction id=TXN-C-4252349-438052, JP_MORGAN merchant reference id=TXN-C-4252349-438052, id=10956543;2000
